year,geo_name,geo,soc_name,soc,sex_name,sex,num_ppl,num_ppl_moe,avg_wage_ft,avg_wage_ft_moe
2014,"California","04000US06","Chiropractors","291011","Female","2",663,245.712,72474.4,21597.4
2014,"California","04000US06","Dentists","291020","Male","1",11916,1110.9,163185.0,11978.5
2014,"California","04000US06","Dentists","291020","Female","2",6373,703.706,104224.0,9645.67
2014,"California","04000US06","Dietitians & nutritionists","291031","Male","1",1211,283.523,59271.4,14003.5
2014,"California","04000US06","Dietitians & nutritionists","291031","Female","2",7337,764.241,60460.9,4038.91
2014,"California","04000US06","Optometrists","291041","Male","1",1797,351.35,118958.0,23144.4
2014,"California","04000US06","Optometrists","291041","Female","2",1579,313.464,102030.0,12062.8
2014,"California","04000US06","Pharmacists","291051","Male","1",10588,917.803,130249.0,5577.18
2014,"California","04000US06","Pharmacists","291051","Female","2",16903,1207.82,109436.0,3184.14
2014,"California","04000US06","Physicians & surgeons","291060","Male","1",57054,2304.18,244791.0,6238.14
2014,"California","04000US06","Physicians & surgeons","291060","Female","2",33794,1449.23,177293.0,6144.72
2014,"California","04000US06","Physician assistants","291071","Male","1",3635,557.908,110217.0,15261.0
2014,"California","04000US06","Physician assistants","291071","Female","2",6484,782.18,78673.5,5553.45
2014,"California","04000US06","Podiatrists","291081","Male","1",385,175.554,243425.0,67906.8
2014,"California","04000US06","Podiatrists","291081","Female","2",161,76.708,120083.0,45934.1
2014,"California","04000US06","Occupational therapists","291122","Male","1",1002,274.844,80353.9,8841.28
2014,"California","04000US06","Occupational therapists","291122","Female","2",6088,565.006,76605.4,4118.46
2014,"California","04000US06","Physical therapists","291123","Male","1",7219,745.423,93103.0,6732.07
2014,"California","04000US06","Physical therapists","291123","Female","2",12362,983.531,76275.4,3971.8
2014,"California","04000US06","Radiation therapists","291124","Male","1",426,167.373,103256.0,29185.9
2014,"California","04000US06","Radiation therapists","291124","Female","2",713,215.799,97456.0,9007.18
2014,"California","04000US06","Recreational therapists","291125","Male","1",402,181.466,53501.5,15316.1
2014,"California","04000US06","Recreational therapists","291125","Female","2",387,203.474,47214.7,10140.8
2014,"California","04000US06","Respiratory therapists","291126","Male","1",5951,657.285,78446.8,4201.53
2014,"California","04000US06","Respiratory therapists","291126","Female","2",6955,796.443,69449.1,2512.65
2014,"California","04000US06","Speechlanguage pathologists","291127","Male","1",592,179.115,83056.8,14380.3
2014,"California","04000US06","Speechlanguage pathologists","291127","Female","2",10416,851.474,77197.5,3877.79
2014,"California","04000US06","Veterinarians","291131","Male","1",2642,466.496,118211.0,13078.7
2014,"California","04000US06","Veterinarians","291131","Female","2",3692,514.278,87519.4,6424.71
2014,"California","04000US06","Registered nurses","291141","Male","1",37701,1503.75,90816.6,2947.94
2014,"California","04000US06","Registered nurses","291141","Female","2",241480,4266.12,86404.0,941.597
2014,"California","04000US06","Nurse anesthetists","291151","Male","1",437,164.504,198106.0,24127.9
2014,"California","04000US06","Nurse anesthetists","291151","Female","2",756,267.185,177376.0,32624.3
2014,"California","04000US06","Audiologists","291181","Male","1",386,182.58,94058.8,29888.3
2014,"California","04000US06","Audiologists","291181","Female","2",1030,265.833,80019.3,10645.6
2014,"California","04000US06","Health diagnosing & treating practitioners, all other","291199","Male","1",1035,284.52,69584.1,18920.9
2014,"California","04000US06","Health diagnosing & treating practitioners, all other","291199","Female","2",1475,374.911,52845.9,10176.6
2014,"California","04000US06","Clinical laboratory technologists & technicians","292010","Male","1",10278,772.954,60711.9,3928.16
2014,"California","04000US06","Clinical laboratory technologists & technicians","292010","Female","2",20675,1152.35,55928.6,2150.46
2014,"California","04000US06","Dental hygienists","292021","Male","1",787,258.636,73628.1,21686.0
2014,"California","04000US06","Dental hygienists","292021","Female","2",13143,1040.55,65476.2,4846.12
